Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USDT
1502928000,2017-08-17,BTCUSDT,4469.93,4485.39,4200.74,4285.08,647.86,2812379.11
1503014400,2017-08-18,BTCUSDT,4285.08,4371.52,3938.77,4108.37,1178.07,4994493.56
1503100800,2017-08-19,BTCUSDT,4108.37,4184.69,3850,4139.98,371.15,1508239.39
1503187200,2017-08-20,BTCUSDT,4139.98,4211.08,4032.62,4086.29,463.54,1915636.35
1503273600,2017-08-21,BTCUSDT,4086.29,4119.62,3911.79,4016,685.12,2770592.06
1503360000,2017-08-22,BTCUSDT,4016,4104.82,3400,4040,939.91,3648726.5
1503446400,2017-08-23,BTCUSDT,4040,4265.8,4013.89,4114.01,980.5,4062506.52
1503532800,2017-08-24,BTCUSDT,4114.01,4371.68,4085.01,4316.01,770.46,3225405.8
1503619200,2017-08-25,BTCUSDT,4316.01,4453.91,4247.48,4280.68,563.36,2440323.79
1503705600,2017-08-26,BTCUSDT,4280.68,4367,4212.41,4337.44,225.76,967753.32
1503792000,2017-08-27,BTCUSDT,4337.44,4400,4285.54,4310.01,347.47,1507589.96
1503878400,2017-08-28,BTCUSDT,4310.01,4399.82,4124.54,4386.69,593.15,2546618.75
1503964800,2017-08-29,BTCUSDT,4386.69,4625.85,4313.55,4587.48,594.12,2640584.83
1504051200,2017-08-30,BTCUSDT,4587.48,4647.51,4416.01,4555.14,790.13,3600737.68
1504137600,2017-08-31,BTCUSDT,4555.14,4745.42,4555.14,4724.89,550.18,2548384.43
1504224000,2017-09-01,BTCUSDT,4724.89,4885.55,4654.88,4834.91,554.18,2634056.29
1504310400,2017-09-02,BTCUSDT,4834.91,4939.19,4286.87,4472.14,888.18,4072965.36
1504396800,2017-09-03,BTCUSDT,4472.14,4714.76,4298.33,4509.08,666.62,3011023.5
1504483200,2017-09-04,BTCUSDT,4509.08,4527.49,3972.51,4100.11,1309.91,5550545.61
1504569600,2017-09-05,BTCUSDT,4100.11,4484.99,3603,4366.47,1175.2,4863148.22
1504656000,2017-09-06,BTCUSDT,4366.47,4662.87,4335.26,4619.77,779.5,3500735.96
1504742400,2017-09-07,BTCUSDT,4619.77,4788.59,4438.19,4691.61,481.83,2219664.92
1504828800,2017-09-08,BTCUSDT,4691.61,4735.39,4028.93,4282.8,1108.34,4764005.93
1504915200,2017-09-09,BTCUSDT,4282.8,4426.62,4150.06,4258.81,658.59,2814560.35
1505001600,2017-09-10,BTCUSDT,4258.81,4283,3801,4130.37,648.94,2653218.2
1505088000,2017-09-11,BTCUSDT,4130.37,4334.43,4098.91,4208.47,685.57,2895733.88
1505174400,2017-09-12,BTCUSDT,4208.47,4394.59,4040.8,4163.72,873.9,3700789.23
1505260800,2017-09-13,BTCUSDT,4163.72,4165.38,3760,3944.69,901.25,3522155.98
1505347200,2017-09-14,BTCUSDT,3944.69,3993,3165.13,3189.02,1642.54,5831847.65
1505433600,2017-09-15,BTCUSDT,3189.02,3856,2817,3700,1949.32,6525220.95
1505520000,2017-09-16,BTCUSDT,3700,3950,3470.66,3714.95,1280.1,4739326.89
1505606400,2017-09-17,BTCUSDT,3714.95,3748.21,3499.02,3699.99,676.16,2445321.19
1505692800,2017-09-18,BTCUSDT,3699.99,4123.2,3690,4035.01,1027.67,4059703.98
1505779200,2017-09-19,BTCUSDT,4035.01,4089.97,3830.91,3910.04,898.81,3544361.84
1505865600,2017-09-20,BTCUSDT,3910.04,4046.08,3820,3900,719.59,2834260.05
1505952000,2017-09-21,BTCUSDT,3900,3910,3567,3609.99,971.06,3642671.89
1506038400,2017-09-22,BTCUSDT,3609.99,3750,3505.55,3595.87,833.3,3011224.81
1506124800,2017-09-23,BTCUSDT,3595.87,3817.19,3542.91,3780,747.79,2781158.57
1506211200,2017-09-24,BTCUSDT,3780,3789.99,3622.76,3660.02,659.82,2439045.2
1506297600,2017-09-25,BTCUSDT,3660.02,3979.87,3653.69,3920.75,720.64,2755957.53
1506384000,2017-09-26,BTCUSDT,3920.75,3976.99,3850.05,3882.35,523.31,2047857.28
1506470400,2017-09-27,BTCUSDT,3882.35,4249.94,3872.81,4193,625.3,2542872.29
1506556800,2017-09-28,BTCUSDT,4193,4300,4101,4174.5,839.55,3510052.09
1506643200,2017-09-29,BTCUSDT,4174.5,4263.86,3952.01,4174.69,1561.22,6403068.39
1506729600,2017-09-30,BTCUSDT,4174.69,4380,4138.1,4378.51,705.52,3025265.75
1506816000,2017-10-01,BTCUSDT,4378.51,4406.52,4240.04,4378.48,724.9,3128231.71
1506902400,2017-10-02,BTCUSDT,4378.48,4561.63,4360,4380,634.55,2811131.03
1506988800,2017-10-03,BTCUSDT,4380,4467.33,4180.8,4310,1070.97,4579122.09
1507075200,2017-10-04,BTCUSDT,4310,4373,4142,4208.59,859.82,3639917
1507161600,2017-10-05,BTCUSDT,4208.59,4355,4110,4292.43,760.44,3216620.42
1507248000,2017-10-06,BTCUSDT,4292.43,4417,4292,4369,502.17,2193131.64
1507334400,2017-10-07,BTCUSDT,4369,4479.5,4312.56,4423,288.14,1261367.6
1507420800,2017-10-08,BTCUSDT,4423,4658,4423,4640,504.13,2282412.29
1507507200,2017-10-09,BTCUSDT,4640,4889.98,4550,4786.95,639.27,3006465.77
1507593600,2017-10-10,BTCUSDT,4786.95,4960,4680.59,4783.06,1036.4,5011470.95
1507680000,2017-10-11,BTCUSDT,4783.06,4881.61,4710,4821.43,736.72,3529503.87
1507766400,2017-10-12,BTCUSDT,4821.43,5439.99,4810.16,5430,1267.18,6610146
1507852800,2017-10-13,BTCUSDT,5430,5846.17,5379.84,5649.98,1865.9,10519034.83
1507939200,2017-10-14,BTCUSDT,5649.98,5900,5580.01,5869.99,966.19,5507933.89
1508025600,2017-10-15,BTCUSDT,5869.99,5922.3,5400.01,5709.99,1329.45,7474934.37
1508112000,2017-10-16,BTCUSDT,5709.99,5788.91,5585.19,5760.02,1516.11,8628528.43
1508198400,2017-10-17,BTCUSDT,5760.02,5774.98,5508.63,5595,1422.23,7998644.63
1508284800,2017-10-18,BTCUSDT,5595,5596,5037.95,5512.06,2295.6,12337122.76
1508371200,2017-10-19,BTCUSDT,5512.06,5710,5490.26,5683.9,1869.04,10537781.67
1508457600,2017-10-20,BTCUSDT,5683.9,6110,5600,6010.01,1930.56,11235714.66
1508544000,2017-10-21,BTCUSDT,6010.01,6171,5850.03,6024.97,1650.65,10031910.73
1508630400,2017-10-22,BTCUSDT,6024.97,6060,5720.03,5950.02,1347.95,7951487.14
1508716800,2017-10-23,BTCUSDT,5950.02,6080,5621.03,5915.93,1788.86,10468709.39
1508803200,2017-10-24,BTCUSDT,5915.93,5925,5450,5477.03,2555.89,14426687.47
